yyyymm,flow,vol,date,flow_resid,bin_vol,recession
195203,0.015576642,0.072098343,3/1/52,0.013610277,1,0
195206,0.005555355,0.068411925,6/1/52,0.005151807,1,0
195209,0.006748908,0.055900263,9/1/52,0.006103579,1,0
195212,0.067799459,0.072505071,12/1/52,0.059538566,1,0
195303,0.001317545,0.070797847,3/1/53,-0.000568542,1,0
195306,0.007682627,0.09694774,6/1/53,0.007359358,4,0
195309,0.006184699,0.091601174,9/1/53,0.005619649,3,1
195312,0.002544608,0.065953984,12/1/53,-0.005636008,1,1
195403,0.023620813,0.062206089,3/1/54,0.021815004,1,1
195406,0.004786947,0.075605414,6/1/54,0.004543956,2,1
195409,0.002782367,0.079535308,9/1/54,0.002297594,2,0
195412,0.062150664,0.086963659,12/1/54,0.054050327,3,0
195503,0.004142308,0.135606894,3/1/55,0.002416777,7,0
195506,0.010716652,0.07239419,6/1/55,0.010553939,1,0
195509,0.017995586,0.162712448,9/1/55,0.017591091,8,0
195512,0.026606298,0.111566576,12/1/55,0.018586239,5,0
195603,0.008388246,0.100459448,3/1/56,0.006742993,4,0
195606,0.010194284,0.112510055,6/1/56,0.010111849,5,0
195609,0.006711524,0.089724251,9/1/56,0.006387307,3,0
195612,0.013482839,0.114826673,12/1/56,0.005543058,6,0
195703,0.008406073,0.089542516,3/1/57,0.006841099,3,0
195706,0.009345774,0.068660859,6/1/57,0.009343617,1,0
195709,0.004974866,0.122832738,9/1/57,0.004730928,6,1
195712,0.027089601,0.195301664,12/1/57,0.019230098,9,1
195803,0.008380409,0.086262646,3/1/58,0.006895713,3,1
195806,0.016543251,0.074902555,6/1/58,0.016621372,2,1
195809,0.009804954,0.075213811,9/1/58,0.009641293,2,0
195812,0.037983479,0.105211162,12/1/58,0.030204254,5,0
195903,0.0028734,0.086757192,3/1/59,0.001468981,3,0
195906,0.011350119,0.08167777,6/1/59,0.011508519,2,0
195909,0.004347489,0.112209407,9/1/59,0.004264107,5,0
195912,0.003966358,0.071687257,12/1/59,-0.003732589,1,0
196003,0.005676721,0.10629631,3/1/60,0.00435258,5,0
196006,0.010854488,0.076818206,6/1/60,0.011093165,2,1
196009,0.008736778,0.115180908,9/1/60,0.008733674,6,1
196012,0.012352455,0.091158233,12/1/60,0.004733786,3,1
196103,0.014705831,0.07379096,3/1/61,0.013461969,2,1
196106,0.00068737,0.089151776,6/1/61,0.001006326,3,0
196109,0.006184271,0.084032814,9/1/61,0.006261445,2,0
196112,0.001199042,0.058181947,12/1/61,-0.006339349,1,0
196203,0.001180288,0.07188095,3/1/62,1.67035E-05,1,0
196206,0.012007186,0.262512091,6/1/62,0.01240642,10,0
196209,0.010718918,0.121765165,9/1/62,0.01087637,6,0
196212,0.047885964,0.13889904,12/1/62,0.040427851,7,0
196303,0.014888304,0.072477976,3/1/63,0.013804998,1,0
196306,0.000268368,0.053812506,6/1/63,0.00074788,1,0
